date,open,high,low,close,volume,ex_rate,
20180110,2516.33,2516.82,2493.98,2499.75,444022,1071.9,
20180109,2510.73,2524.73,2498.41,2510.23,374322,1067.1,
20180108,2510.7,2515.37,2494.18,2513.28,311429,1066,
20180105,2476.85,2497.52,2475.51,2497.52,308769,1062.7,
20180104,2502.5,2502.5,2466.45,2466.46,333836,1062.2,
20180103,2484.63,2493.4,2481.91,2486.35,331094,1064.5,
20180102,2474.86,2481.02,2465.94,2479.65,262205,1061.2,
20171228,2439.31,2467.51,2437.26,2467.49,220336,1070.5,
20171227,2420.86,2436.68,2411.48,2436.67,194850,1074.1,
20171226,2447.67,2457.19,2427.34,2427.34,224640,1076.1,
20171222,2437.59,2444.57,2426.94,2440.54,230412,1079.7,
20171221,2471.34,2471.73,2429.83,2429.83,247330,1082.7,
20171220,2473.82,2484.5,2470.62,2472.37,236176,1080.9,
20171219,2487.83,2498.67,2470.49,2478.53,308390,1084.9,
20171218,2488.83,2488.83,2477.29,2481.88,324358,1088.5,
20171215,2488.39,2495.08,2475.99,2482.07,340758,1089.8,
20171214,2486.57,2514.61,2469.48,2469.48,317786,1089.1,
20171213,2462.42,2481.92,2457.7,2480.55,254953,1090.7,
20171212,2471.23,2471.43,2455.39,2461,281191,1092.4,
20171211,2467.81,2471.99,2457.98,2471.49,240137,1092.3,
20171208,2470.09,2473.17,2459.02,2464,406381,1093.3,
20171207,2479.55,2480.85,2452.4,2461.98,404853,1093.5,
20171206,2510.19,2510.47,2474.29,2474.37,507624,1093.7,
20171205,2490.73,2513.68,2487.15,2510.12,395429,1085.8,
20171204,2486.72,2501.67,2476.29,2501.67,323846,1088.7,
20171201,2488.92,2488.92,2472.75,2475.41,288567,1086.4,
20171130,2502.22,2506.32,2474.28,2476.37,339022,1088.2,
20171129,2517.26,2524.41,2508.66,2512.9,301208,1076.8,
20171128,2512.52,2521.06,2500.93,2514.19,348243,1084.4,
20171127,2544.74,2546.71,2506.69,2507.81,284887,1088.6,
20171124,2539.79,2544.33,2533.98,2544.33,297938,1085.4,
20171123,2542.34,2544.58,2532.45,2537.15,391292,1085.4,
20171122,2546.61,2553.22,2535.19,2540.51,485670,1089.1,
20171121,2533.85,2539.88,2525.96,2530.7,484887,1095.8,
20171120,2536.8,2542.62,2523.52,2527.67,404259,1100.6,
20171117,2546.05,2559.1,2533.99,2533.99,362192,1097.5,
20171116,2522.42,2538.28,2514.51,2534.79,302931,1101.4,
